Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,78.199997,79.199997,78.160004,79.059998,48.064476,10173800
2010-01-05,79.220001,79.620003,78.720001,79.620003,48.404930,10593700
2010-01-06,79.440002,80.000000,79.190002,79.629997,48.410995,11014600
2010-01-07,79.360001,79.699997,78.970001,79.330002,48.228630,9626900
2010-01-08,79.120003,79.470001,78.889999,79.470001,48.313732,5624300
2010-01-11,80.169998,81.089996,80.059998,80.879997,49.170956,11916800
2010-01-12,79.519997,80.449997,79.470001,80.410004,48.885208,12175200
2010-01-13,80.269997,80.410004,79.089996,79.800003,48.514385,10842200
2010-01-14,79.629997,79.800003,79.150002,79.550003,48.362366,6721000
2010-01-15,79.540001,79.690002,78.279999,79.230003,48.167824,13482300
2010-01-19,78.959999,79.750000,78.570000,79.680000,48.441406,8722200
2010-01-20,78.709999,78.930000,77.650002,78.150002,47.511250,8703800
2010-01-21,78.150002,78.180000,76.059998,76.239998,46.350060,12573200
2010-01-22,75.980003,76.589996,74.430000,74.589996,45.346928,13825000
2010-01-25,75.150002,75.269997,74.089996,74.550003,45.322639,9129700
2010-01-26,74.080002,74.879997,73.699997,74.150002,45.079437,10558200
2010-01-27,73.940002,74.360001,73.129997,73.699997,44.805870,13373200
2010-01-28,73.970001,74.180000,72.320000,73.239998,44.526199,12828800
2010-01-29,73.529999,74.070000,71.750000,72.120003,43.845310,15265600
2010-02-01,72.699997,73.739998,72.139999,73.580002,44.732903,11828500
2010-02-02,73.739998,74.580002,73.000000,74.449997,45.261818,12947600
2010-02-03,74.180000,74.360001,73.050003,73.209999,44.507973,14540300
2010-02-04,72.559998,72.830002,71.059998,71.370003,43.389339,15248400
2010-02-05,71.000000,71.239998,69.550003,71.180000,43.273823,17307000
2010-02-08,71.239998,71.449997,70.129997,70.129997,42.635506,11595600
2010-02-09,70.889999,72.029999,70.820000,71.309998,43.352875,13051900
2010-02-10,71.019997,71.230003,70.000000,70.750000,43.012417,11618700
2010-02-11,70.720001,72.110001,70.309998,71.730003,43.608215,11273800
2010-02-12,70.540001,71.300003,70.169998,71.010002,43.583649,13809100
2010-02-16,71.989998,73.320000,71.930000,72.989998,44.798923,14230800
2010-02-17,73.220001,73.430000,72.459999,72.839996,44.706833,8728000
2010-02-18,72.690002,73.720001,72.339996,73.620003,45.185581,9848000
2010-02-19,73.440002,74.379997,73.209999,74.050003,45.449516,13113200
2010-02-22,74.169998,74.220001,72.790001,72.959999,44.780499,8683400
2010-02-23,72.599998,72.930000,71.769997,72.040001,44.215824,11907600
2010-02-24,72.120003,72.449997,71.610001,72.339996,44.399967,8921000
2010-02-25,71.190002,72.190002,70.779999,72.110001,44.258797,11761100
2010-02-26,72.190002,72.690002,71.820000,72.300003,44.375416,8978800
2010-03-01,72.629997,73.180000,72.389999,72.809998,44.688435,7428100
2010-03-02,73.180000,73.910004,73.010002,73.320000,45.001465,9257200
2010-03-03,73.629997,73.849998,73.059998,73.129997,44.884853,8194200
2010-03-04,73.070000,73.500000,72.709999,73.080002,44.854156,9419900
2010-03-05,73.550003,74.470001,73.510002,74.300003,45.602959,8750200
2010-03-08,74.489998,74.879997,74.150002,74.639999,45.811646,6474000
