Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02,91.79243373920544,95.50381384155676,91.5871981442808,94.65721130371094,6384800,0.0,0
2019-01-03,94.97363621988652,95.17032499740282,92.41672125811492,92.84429931640625,6496200,0.0,0
2019-01-04,94.30660182188855,94.91376179372779,93.61392755565214,94.76838684082031,7952500,0.0,0
2019-01-07,94.9736182052914,96.57276218873177,93.99874093924775,95.99980926513672,5712700,0.0,0
2019-01-08,96.9746806972459,97.30819097744327,95.4952581144736,95.58077239990234,5674900,0.0,0
2019-01-09,96.36753982742279,97.4877921937962,96.16229767266009,96.863525390625,7097000,0.0,0
2019-01-10,96.21359863216172,97.17136912926456,95.52947125624067,97.01744079589844,6078300,0.0,0
2019-01-11,96.63262879280865,96.67538920288848,95.49526973763994,96.2392578125,4491700,0.0,0
2019-01-14,95.213053858509,96.06820975028359,94.99071802415921,95.53801727294922,6121700,0.0,0
2019-01-15,95.76035987355263,96.69247666626745,95.35843555951166,95.88008117675781,4226100,0.0,0
2019-01-16,95.29004267670767,96.05113106932706,95.11046068203241,95.26438903808594,5624100,0.0,0
2019-01-17,94.70851773933052,96.02545863347775,94.21252574199158,95.74325561523438,4442700,0.0,0
2019-01-18,97.47923574607226,98.04364186746652,96.68394036322216,97.80419921875,9382000,0.0,0
2019-01-22,96.73523384254968,97.0174303196466,95.73469652154996,96.06820678710938,7242000,0.0,0
2019-01-23,96.10241609877646,96.35041208858048,94.42631134550389,95.25581359863281,6082300,0.0,0
2019-01-24,94.94796642454821,97.3338523667657,94.8453518835855,97.06875610351562,8470700,0.0,0
2019-01-25,97.53908285119125,98.15479616192532,96.62406627116201,96.82075500488281,6261800,0.0,0
2019-01-28,95.70050046590941,96.26489997059561,94.98216611301942,95.92283630371094,6886600,0.0,0
2019-01-29,96.65827219758528,96.93192182989092,95.58077391599093,95.63208770751953,5359900,0.0,0
2019-01-30,96.23071178971371,97.18848893962205,95.76037986445611,96.64118957519531,7941700,0.0,0
2019-01-31,97.31675881613998,98.69356054627843,96.95758832508271,98.04364013671875,11225600,0.0,0
2019-02-01,99.75394604399519,101.97735027982289,99.71118563540679,101.22481536865234,10934300,0.0,0
2019-02-04,100.48082246454679,102.40492332025089,99.46318481308026,102.39636993408203,7987900,0.0,0
2019-02-05,102.29374778942959,102.49898337196383,101.49845256724768,102.17402648925781,6887400,0.0,0
2019-02-06,101.76355550843518,102.2680943746596,101.49845925833908,101.66093444824219,4990400,0.0,0
2019-02-07,100.91696716439998,101.34454518887921,99.63423309096227,101.1051025390625,7281900,0.0,0
2019-02-08,100.68606167430445,100.81433637415078,99.1296780761638,100.54924011230469,5671000,0.0,0
2019-02-11,99.99339016838292,100.3611075050437,99.53160515087941,100.01049041748047,4859600,0.0,0
2019-02-12,101.19059100532081,101.65237593678428,100.57487776336951,101.52410125732422,5400700,0.0,0
2019-02-13,101.90038889433245,102.95222708770817,101.5070114052717,102.2509994506836,5935900,0.0,0
2019-02-14,102.24236895481904,103.24431826301387,101.62910557163192,102.06098175048828,5406500,1.19,0
2019-02-15,103.32205348349345,103.52935219229596,102.43238307048892,103.08883666992188,6209800,0.0,0
2019-02-19,102.70014813155329,103.52934953539044,102.32009501691283,103.05428314208984,4277800,0.0,0
2019-02-20,103.05428718597373,104.27218112027654,102.78652607555563,103.89212799072266,5940600,0.0,0
2019-02-21,103.71073002328154,103.92666808084562,102.25962601285464,102.90744018554688,5139400,0.0,0
2019-02-22,103.89212155833779,104.04759722990123,102.65695555366908,103.12338256835938,4517600,0.0,0
2019-02-25,103.14066481061346,104.01304988468897,103.1061139279906,103.32205200195312,5196600,0.0,0
2019-02-26,103.48618055740307,104.48813657835693,103.37389510949961,103.59847259521484,5445600,0.0,0
2019-02-27,103.90076279879361,104.76451508084536,103.55526056799151,103.71937561035156,5289800,0.0,0
2019-02-28,103.65029581608297,103.78849937366041,102.34602774855625,103.28752136230469,6406500,0.0,0
2019-03-01,103.98713335377165,105.4123258911532,103.79710680346655,105.4036865234375,7743600,0.0,0
2019-03-04,105.95648985037883,106.103326155354,104.12533924737838,105.48143005371094,7499500,0.0,0
2019-03-05,105.26549299428807,106.54384268147726,105.02363681977273,106.49201965332031,7345200,0.0,0
2019-03-06,106.38837419176849,107.7099142182733,105.63691387311687,106.69932556152344,7599900,0.0,0
2019-03-07,106.60430025187962,106.67340201289876,105.11864533950114,105.3259506225586,7201100,0.0,0
2019-03-08,103.73666085147016,105.31732930873575,102.95928238151103,105.04956817626953,7014100,0.0,0
2019-03-11,106.12925482194109,107.27804045215562,106.02560216639745,106.77706909179688,6088600,0.0,0
2019-03-12,106.96708364894674,107.93448861522123,106.56975837438057,107.01891326904297,6184300,0.0,0
2019-03-13,107.62352808514385,107.90856790671366,107.01890415142601,107.68399047851562,4707000,0.0,0
2019-03-14,107.76173104807785,108.36635497865923,107.5198814758453,107.62352752685547,5146400,0.0,0
2019-03-15,107.61489842246301,108.33181442988604,107.40759971076612,108.23680114746094,10449700,0.0,0
2019-03-18,108.15043634298057,108.94508696300855,108.11588545646964,108.7291488647461,5586900,0.0,0
2019-03-19,109.31648595324907,109.62743729983423,107.74445707436057,108.21088409423828,5096800,0.0,0
2019-03-20,108.00358302916219,109.12645700955824,107.69263168938316,107.7012710571289,6708500,0.0,0
2019-03-21,107.85675532849936,108.79824220075818,107.54580396392224,108.71186828613281,5050400,0.0,0
2019-03-22,107.83948090216307,107.88267115615578,105.98241200890475,106.31927490234375,5786800,0.0,0
2019-03-25,106.18106577382825,106.54384014209442,105.64553699931146,106.14651489257812,3837500,0.0,0
2019-03-26,106.9066237051536,107.89130743070567,106.56976082137554,107.21757507324219,4079800,0.0,0
2019-03-27,107.0880252386054,107.51990143774658,105.39506473885311,106.0601577758789,3727800,0.0,0
2019-03-28,105.89603754268975,106.3797433432557,105.68873882239436,106.2588119506836,4057700,0.0,0
2019-03-29,107.3471370351161,107.51125208431935,105.80101959498538,106.39701080322266,5318600,0.0,0
2019-04-01,106.99299875136583,108.2022466878894,106.63021778050175,107.9172134399414,5506300,0.0,0
2019-04-02,108.14177954491558,108.34908483057022,107.20029275138424,107.9085693359375,4362700,0.0,0
